record_id,platform,target,language,content_type,status,object_count,submitted_date,public_url,evidence_url,source_tag,copy_state,asset_state,price_basis,last_checked,next_action,notes
fbgrp-americanchinese-pending,facebook_group,美国华人群,zh,group_post,pending_stale,1,2026-08-20,,https://www.facebook.com/groups/americanchinese/my_pending_content/,,stale_prices,stale_rate_card,stale_known,2026-08-22,retain_no_delete_edit_unavailable,"Edit is aria-disabled; Delete is available; still quotes $49/$400/$1,200/$2,000 and a city"
fbgrp-anuncios-pending,facebook_group,ANUNCIOS CLASSIFICADOS BRASILEIROS EM SAN FRANCISCO BAY AREA CALIFORNIA,pt,group_post,pending_stale,1,2026-08-19,,https://www.facebook.com/groups/569363908759011/my_pending_content/,,stale_prices,stale_rate_card,stale_known,2026-08-22,retain_no_delete_edit_unavailable,"Edit is aria-disabled; Delete is available; still quotes $325/$2,500"
fbgrp-americanchinese-removed,facebook_group,美国华人群,zh,group_post,removed,1,,,https://www.facebook.com/groups/americanchinese/my_removed_content/,,stale_prices,stale_rate_card,stale_known,2026-08-22,retain_history,"Separate moderator-removed post; Facebook retains details until 2026-09-03"
fbgrp-anuncios-removed,facebook_group,ANUNCIOS CLASSIFICADOS BRASILEIROS EM SAN FRANCISCO BAY AREA CALIFORNIA,pt,group_post,removed,1,,,https://www.facebook.com/groups/569363908759011/my_removed_content/,,stale_prices,stale_rate_card,stale_known,2026-08-22,retain_history,"Separate moderator-removed post; Facebook retains details until 2026-09-02"
fbgrp-la-community-declined,facebook_group,洛杉矶华人交流群,zh,group_post,declined,2,2026-08-21,,https://www.facebook.com/groups/a8888888/my_declined_content/,,mixed,price_free,mixed,2026-08-22,no_more_rate_cards,"Two declined posts; latest used current copy"
fbgrp-br-community-declined,facebook_group,Comunidade Brasileira nos EUA,pt,group_post,declined,2,2026-08-21,,https://www.facebook.com/groups/braziliancommunity/my_declined_content/,fbgrp-cb,mixed,price_free,mixed,2026-08-22,no_more_rate_cards,"Two declined posts; latest used current copy"
fbgrp-castro-unavailable,facebook_group,Castro Valley Hayward San Leandro & San Lorenzo COMMUNITY HUB,en,photo_post,unavailable,1,2026-08-16,,https://www.facebook.com/leon.leonli/allactivity/?category_key=GROUPPOSTS,,unknown,unknown,unknown,2026-08-22,do_not_repost_without_rules_check,"Activity-log record exists; no current Published/Pending/Declined/Removed object"
fbmkt-es-current,facebook_marketplace,Hago Páginas Web y Automatizo tu Negocio,es,service_listing,marketplace_removed_by_platform,1,2026-08-21,https://www.facebook.com/marketplace/item/1699595757818746/,https://www.facebook.com/marketplace/item/1699595757818746/,fbmkt-es,current,listing_card,not_applicable,2026-08-22,retain_no_delete,"$300; 2 clicks; Facebook says removed and visible only to the owner"
fbmkt-pt-current,facebook_marketplace,Faço Sites e Automatizo o seu Negócio,pt,service_listing,marketplace_removed_by_platform,1,2026-08-17,https://www.facebook.com/marketplace/item/1375482901409827/,https://www.facebook.com/marketplace/item/1375482901409827/,fbmkt-pt,current,listing_card,not_applicable,2026-08-22,retain_no_delete,"$300; 14 clicks; Facebook says removed and visible only to the owner"
fbmkt-en-old,facebook_marketplace,I Build Websites and Apps for Small Businesses,en,service_listing,marketplace_removed_by_platform,1,2026-08-14,https://www.facebook.com/marketplace/item/1108368025189479/,https://www.facebook.com/marketplace/item/1108368025189479/,,stale_prices,stale_rate_card,stale_known,2026-08-22,retain_no_delete,"$49; 9 clicks; Facebook says removed and visible only to the owner"
fbmkt-ai-old,facebook_marketplace,AI & Custom Software Development for your Business,en,service_listing,marketplace_removed_by_platform,1,2026-08-05,https://www.facebook.com/marketplace/item/1010498701794556/,https://www.facebook.com/marketplace/item/1010498701794556/,,stale_prices,stale_rate_card,stale_known,2026-08-22,retain_no_delete,"$0 current price; 3 clicks; Facebook says removed and visible only to the owner"
fbmkt-outcome-zero,facebook_marketplace,I build websites for small businesses that bring more customers,en,service_listing,marketplace_active_unsafe,1,2026-08-21,https://www.facebook.com/marketplace/item/2343329463139400/,https://www.facebook.com/marketplace/item/2343329463139400/,,zero_price,unknown,noncanonical,2026-08-22,retain_no_delete,"$0; 2 clicks; unsubstantiated outcome title; service listing conflicts with Marketplace rules"
fbmkt-en-current,facebook_marketplace,I Build Websites & Automate Small Businesses,en,service_listing,marketplace_active_unsafe,1,2026-08-20,https://www.facebook.com/marketplace/item/1599515614991981/,https://www.facebook.com/marketplace/item/1599515614991981/,fbmkt-en,noncanonical_price,listing_card,noncanonical,2026-08-22,retain_no_delete,"$9 current price; $300 also appears in list view; 6 clicks; service listing conflicts with Marketplace rules"
fbmkt-zh-current,facebook_marketplace,做网站 + 帮小生意做自动化,zh,service_listing,marketplace_active_policy_risk,1,2026-08-15,https://www.facebook.com/marketplace/item/946947391766462/,https://www.facebook.com/marketplace/item/946947391766462/,fbmkt-zh,current,listing_card,floors:03836db46381,2026-08-22,retain_no_delete,"$300; 2 clicks; cross-posted to two groups; active service listing conflicts with Marketplace rules"
ig-01,instagram,ig_01_prices,en,creative,draft_ready,1,,,assets/social/ig_01_prices.png,,current,price_free,price_free,2026-08-22,ready_after_channel_review,"Regenerated price-free; legacy filename retained; no publication evidence"
ig-02,instagram,ig_02_pricing,en,creative,draft_ready,1,,,assets/social/ig_02_pricing.png,,current,price_free,price_free,2026-08-22,ready_after_channel_review,"Regenerated price-free; legacy filename retained; no publication evidence"
ig-03,instagram,ig_03_work,en,creative,draft_ready,1,,,assets/social/ig_03_work.png,,current,proof_card,price_free,2026-08-22,ready_after_channel_review,"Regenerated with leonbuilds.org; no publication evidence"
wa-forward-pt,whatsapp,Portuguese referral forward,pt,forward_template,unsent_template,1,,,content/posts.md,,current,none,floors:03836db46381,2026-08-22,send_only_via_real_referrer,"File explicitly says Leon did not post it"
wa-forward-es,whatsapp,Spanish referral forward,es,forward_template,unsent_template,1,,,content/posts.md,,current,none,floors:03836db46381,2026-08-22,send_only_via_real_referrer,"File explicitly says Leon did not post it"
wechat-forward-zh,wechat,Chinese referral forward,zh,forward_template,unsent_template,1,,,content/posts.md,,current,none,floors:03836db46381,2026-08-22,send_only_via_real_referrer,"Draft exists; no send evidence"
