record_type,campaign,ad_set,variant_id,status,asset_path,objective,conversion_location,performance_goal,conversion_event,utm_source,utm_medium,utm_campaign,utm_term,utm_content,final_url,primary_text,headline,description,cta,instruction
campaign_setting,DRAFT | BA | Meta | Missed Lead Recovery,,draft_state,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,DRAFT - DO NOT ENABLE,,,,Offline specification only; no live account action is authorized
creative,DRAFT | BA | Meta | Missed Lead Recovery,auto_repair,meta_ar_ad05,DISABLED,assets/social/ad_05_founder_direct.png,Leads,Website,Maximize number of conversions,calendar_booking_success,meta,paid_social,ba-missed-lead-recovery-v1,auto_repair,meta-ar-ad05-founder,https://leonbuilds.org/missed-lead-recovery?utm_source=meta&utm_medium=paid_social&utm_campaign=ba-missed-lead-recovery-v1&utm_term=auto_repair&utm_content=meta-ar-ad05-founder,"Work directly with the developer mapping the inquiry, follow-up and advisor handoff. One written scope, one existing inbound source and a compatibility check come first.",Built Directly By Leon,"Ten-business-day window after scope and access are ready.",Book Now,Founder-direct reassurance; not a testimonial or result claim
creative,DRAFT | BA | Meta | Missed Lead Recovery,restaurant_food,meta_rf_ad06,DISABLED,assets/social/ad_06_lead_leak_review.png,Leads,Website,Maximize number of conversions,calendar_booking_success,meta,paid_social,ba-missed-lead-recovery-v1,restaurant_food,meta-rf-ad06-leak-review,https://leonbuilds.org/missed-lead-recovery?utm_source=meta&utm_medium=paid_social&utm_campaign=ba-missed-lead-recovery-v1&utm_term=restaurant_food&utm_content=meta-rf-ad06-leak-review,"Bring one catering or private-event inquiry path that is easy to miss. The first 15-minute call checks fit and the smallest sensible next step; it is not a promise of more events.",Review One Inquiry Leak,"For Bay Area restaurant teams; fixed quote first.",Book Now,Keep routine reservations and direct ordering outside this ad
qualification,DRAFT | BA | Meta | Missed Lead Recovery,,qual_01,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Existing inbound source confirmed,,,,The fit check should identify one form compatible missed-call event or shared inbox already receiving inquiries
qualification,DRAFT | BA | Meta | Missed Lead Recovery,,qual_02,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Bay Area business location confirmed,,,,Ask for city or county without putting it in a URL or repository file
qualification,DRAFT | BA | Meta | Missed Lead Recovery,,qual_03,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Niche and inquiry type confirmed,,,,Home-service estimate auto-service callback or restaurant catering/private-event inquiry only
qualification,DRAFT | BA | Meta | Missed Lead Recovery,,qual_04,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Handoff owner identified,,,,A person must own replies decisions and vendor approvals
qualification,DRAFT | BA | Meta | Missed Lead Recovery,,qual_05,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Offer boundary acknowledged,,,,Not ad management lead buying call-center service a CRM replacement or a revenue guarantee
qualification,DRAFT | BA | Meta | Missed Lead Recovery,,qual_06,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Quality outcome recorded privately,,,,Progress confirmed booking to held qualified call proposal and won or lost outcome
retarget_gate,DRAFT | BA | Meta | Missed Lead Recovery,retargeting,gate_01,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Privacy disclosure and consent gate,,,,Live disclosure consent handling retention purpose and deletion process are reviewed and accurate
retarget_gate,DRAFT | BA | Meta | Missed Lead Recovery,retargeting,gate_02,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Measurement gate,,,,Pixel or CAPI is separately authorized and booking event deduplication is verified in the live account
retarget_gate,DRAFT | BA | Meta | Missed Lead Recovery,retargeting,gate_03,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Audience availability gate — numeric threshold unset,,,,Meta reports the consented website audience as available with enough eligible activity for delivery
retarget_gate,DRAFT | BA | Meta | Missed Lead Recovery,retargeting,gate_04,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Retention and exclusion gate — windows unset,,,,Owner approves window and excludes bookings clients employees tests and opted-out records where lawful
retarget_gate,DRAFT | BA | Meta | Missed Lead Recovery,retargeting,gate_05,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Creative gate,,,,Use proof or process clarification; do not repeat an unsupported urgency or outcome claim
launch_check,DRAFT | BA | Meta | Missed Lead Recovery,,check_01,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Landing and booking path verified,,,,Test mobile desktop CTA calendar and the offer boundaries
launch_check,DRAFT | BA | Meta | Missed Lead Recovery,,check_02,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Privacy and Meta Business Tools review complete,,,,Do not install tracking based on this document alone
launch_check,DRAFT | BA | Meta | Missed Lead Recovery,,check_03,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,One confirmed booking produces one verified conversion,,,,Test deduplication and cancellation handling with authorized synthetic data
launch_check,DRAFT | BA | Meta | Missed Lead Recovery,,check_04,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,All five UTMs persist to the private acquisition record,,,,Do not manually add fbclid or another click identifier
launch_check,DRAFT | BA | Meta | Missed Lead Recovery,,check_05,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Location control and exclusions peer-reviewed,,,,Do not silently expand outside the Bay Area target
launch_check,DRAFT | BA | Meta | Missed Lead Recovery,,check_06,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Every placement preview reviewed,,,,The 1080x1350 image and text must remain accurate and legible
launch_check,DRAFT | BA | Meta | Missed Lead Recovery,,check_07,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Restaurant direct-order variant remains held,,,,Its message does not match the current landing-page scope
launch_check,DRAFT | BA | Meta | Missed Lead Recovery,,check_08,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Qualification and CRM feedback owner assigned,,,,Raw leads are not treated as qualified outcomes
launch_check,DRAFT | BA | Meta | Missed Lead Recovery,,check_09,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Economics inputs and owner stop rules completed,,,,No fabricated benchmark or budget may be inferred
launch_check,DRAFT | BA | Meta | Missed Lead Recovery,,check_10,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,First-test allocation remains $0 and billing stays unauthorized,,,,Do not create fund schedule or enable this Meta draft during the Google-only test
launch_check,DRAFT | BA | Meta | Missed Lead Recovery,,check_11,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Campaign and every eligible ad created paused,,,,A second person confirms disabled state before any billing-capable action
launch_check,DRAFT | BA | Meta | Missed Lead Recovery,,check_12,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Retargeting remains off until every gate passes,,,,No arbitrary traffic count overrides privacy event quality or audience availability
